TIPREG	DATA	CODBDI	CODNEG	TPMERC	NOMRES	ESPECI	PRAZOT	MODREF	P.Abe	P.Max	P.Min	P.Ult	P.OFC	P.OFV	Total NEG.	Qt.Total	Volume Total	P.EXE	INDOPC	DATA VENC.	FATCOT	PTOEXE	CODISI	DISMES
01	12/02/2004	02	SLED4       	010	SARAIVA LIVR	PN        	   	R$  	8,84	8,84	8,84	8,84	8,84	8,7	9,4	00001	000000000000442200	3909048	0	0	31/12/9999	0000001	0000000	BRSLEDACNPR7	136
01	12/02/2004	02	ITSA4       	010	ITAUSA      	PN      N1	   	R$  	1,9	1,91	1,86	1,88	1,89	1,89	1,91	00177	000000000001918000	3624050	0	0	31/12/9999	0000001	0000000	BRITSAACNPR7	268
01	12/02/2004	96	TBLE3F      	020	TRACTEBEL   	ON *      	   	R$  	3,45	3,45	3,2	3,2	3,2	3,2	3,38	00007	000000000000048943	156,6	0	0	31/12/9999	0001000	0000000	BRTBLEACNOR2	102
01	12/02/2004	96	SBSP3F      	020	SABESP      	ON *    NM	   	R$  	84,54	90	84,54	86,48	90	89,2	90	00031	000000000000096513	8376,45	0	0	31/12/9999	0001000	0000000	BRSBSPACNOR5	125
01	12/02/2005	02	VALE3       	010	VALE R DOCE 	ON        	   	R$  	105,01	105,01	102,5	103,68	103,21	103,21	104,38	00142	000000000000069500	7206414	0	0	31/12/9999	0000001	0000000	BRVALEACNOR0	159
01	12/02/2005	02	VALE5       	010	VALE R DOCE 	PNA       	   	R$  	100	100,8	98,2	99,18	98,2	97,01	98,2	00306	000000000000230500	22861390	0	0	31/12/9999	0000001	0000000	BRVALEACNPA3	160
01	12/02/2005	96	TMCP4F      	020	TELEMIG PART	PN *      	   	R$  	2,43	2,51	2,42	2,43	2,51	2,42	2,52	00013	000000000000377522	921,05	0	0	31/12/9999	0001000	0000000	BRTMCPACNPR1	105
01	12/02/2005	02	RPSA4       	010	RIPASA      	PN      N1	   	R$  	1,3	1,33	1,28	1,3	1,33	1,29	1,33	00038	000000000000603000	786800	0	0	31/12/9999	0000001	0000000	BRRPSAACNPR6	125
01	12/02/2005	02	SULT4       	010	SULTEPA     	PN        	   	R$  	0,31	0,31	0,3	0,3	0,3	0,28	0,3	00007	000000000000017000	5170	0	0	31/12/9999	0000001	0000000	BRSULTACNPR9	119
01	12/02/2005	02	CBEE3       	010	CERJ        	ON *I02   	   	R$  	0,24	0,24	0,24	0,24	0,24	0,24	0,27	00008	000000000052000000	12480	0	0	31/12/9999	0001000	0000000	BRCBEEACNOR3	139
01	12/02/2005	02	ELPL4       	010	ELETROPAULO 	PN *      	   	R$  	22,89	23,49	22,5	22,97	22,5	22,5	23	00205	000000000064360000	1478386,9	0	0	31/12/9999	0001000	0000000	BRELPLACNPR6	111
01	12/02/2005	02	SLED4       	010	SARAIVA LIVR	PN        	   	R$  	8,84	8,84	8,84	8,84	8,84	8,7	9,4	00001	000000000000442200	3909048	0	0	31/12/9999	0000001	0000000	BRSLEDACNPR7	136
01	12/02/2005	02	ITSA4       	010	ITAUSA      	PN      N1	   	R$  	1,9	1,91	1,86	1,88	1,89	1,89	1,91	00177	000000000001918000	3624050	0	0	31/12/9999	0000001	0000000	BRITSAACNPR7	268
01	12/02/2005	96	TBLE3F      	020	TRACTEBEL   	ON *      	   	R$  	3,45	3,45	3,2	3,2	3,2	3,2	3,38	00007	000000000000048943	156,6	0	0	31/12/9999	0001000	0000000	BRTBLEACNOR2	102
01	12/02/2005	96	SBSP3F      	020	SABESP      	ON *    NM	   	R$  	84,54	90	84,54	86,48	90	89,2	90	00031	000000000000096513	8376,45	0	0	31/12/9999	0001000	0000000	BRSBSPACNOR5	125
01	12/02/2006	02	VALE3       	010	VALE R DOCE 	ON        	   	R$  	105,01	105,01	102,5	103,68	103,21	103,21	104,38	00142	000000000000069500	7206414	0	0	31/12/9999	0000001	0000000	BRVALEACNOR0	159
01	12/02/2006	02	VALE5       	010	VALE R DOCE 	PNA       	   	R$  	100	100,8	98,2	99,18	98,2	97,01	98,2	00306	000000000000230500	22861390	0	0	31/12/9999	0000001	0000000	BRVALEACNPA3	160
01	12/02/2006	96	TMCP4F      	020	TELEMIG PART	PN *      	   	R$  	2,43	2,51	2,42	2,43	2,51	2,42	2,52	00013	000000000000377522	921,05	0	0	31/12/9999	0001000	0000000	BRTMCPACNPR1	105
01	12/02/2006	02	RPSA4       	010	RIPASA      	PN      N1	   	R$  	1,3	1,33	1,28	1,3	1,33	1,29	1,33	00038	000000000000603000	786800	0	0	31/12/9999	0000001	0000000	BRRPSAACNPR6	125
01	12/02/2006	02	SULT4       	010	SULTEPA     	PN        	   	R$  	0,31	0,31	0,3	0,3	0,3	0,28	0,3	00007	000000000000017000	5170	0	0	31/12/9999	0000001	0000000	BRSULTACNPR9	119
01	12/02/2006	02	CBEE3       	010	CERJ        	ON *I02   	   	R$  	0,24	0,24	0,24	0,24	0,24	0,24	0,27	00008	000000000052000000	12480	0	0	31/12/9999	0001000	0000000	BRCBEEACNOR3	139
01	12/02/2006	02	ELPL4       	010	ELETROPAULO 	PN *      	   	R$  	22,89	23,49	22,5	22,97	22,5	22,5	23	00205	000000000064360000	1478386,9	0	0	31/12/9999	0001000	0000000	BRELPLACNPR6	111
01	12/02/2006	02	SLED4       	010	SARAIVA LIVR	PN        	   	R$  	8,84	8,84	8,84	8,84	8,84	8,7	9,4	00001	000000000000442200	3909048	0	0	31/12/9999	0000001	0000000	BRSLEDACNPR7	136
01	12/02/2006	02	ITSA4       	010	ITAUSA      	PN      N1	   	R$  	1,9	1,91	1,86	1,88	1,89	1,89	1,91	00177	000000000001918000	3624050	0	0	31/12/9999	0000001	0000000	BRITSAACNPR7	268
01	12/02/2006	96	TBLE3F      	020	TRACTEBEL   	ON *      	   	R$  	3,45	3,45	3,2	3,2	3,2	3,2	3,38	00007	000000000000048943	156,6	0	0	31/12/9999	0001000	0000000	BRTBLEACNOR2	102
01	12/02/2006	96	SBSP3F      	020	SABESP      	ON *    NM	   	R$  	84,54	90	84,54	86,48	90	89,2	90	00031	000000000000096513	8376,45	0	0	31/12/9999	0001000	0000000	BRSBSPACNOR5	125
01	12/02/2007	02	VALE3       	010	VALE R DOCE 	ON        	   	R$  	105,01	105,01	102,5	103,68	103,21	103,21	104,38	00142	000000000000069500	7206414	0	0	31/12/9999	0000001	0000000	BRVALEACNOR0	159
01	12/02/2007	02	VALE5       	010	VALE R DOCE 	PNA       	   	R$  	100	100,8	98,2	99,18	98,2	97,01	98,2	00306	000000000000230500	22861390	0	0	31/12/9999	0000001	0000000	BRVALEACNPA3	160
01	12/02/2007	96	TMCP4F      	020	TELEMIG PART	PN *      	   	R$  	2,43	2,51	2,42	2,43	2,51	2,42	2,52	00013	000000000000377522	921,05	0	0	31/12/9999	0001000	0000000	BRTMCPACNPR1	105
01	12/02/2007	02	RPSA4       	010	RIPASA      	PN      N1	   	R$  	1,3	1,33	1,28	1,3	1,33	1,29	1,33	00038	000000000000603000	786800	0	0	31/12/9999	0000001	0000000	BRRPSAACNPR6	125
01	12/02/2007	02	SULT4       	010	SULTEPA     	PN        	   	R$  	0,31	0,31	0,3	0,3	0,3	0,28	0,3	00007	000000000000017000	5170	0	0	31/12/9999	0000001	0000000	BRSULTACNPR9	119
01	12/02/2007	02	CBEE3       	010	CERJ        	ON *I02   	   	R$  	0,24	0,24	0,24	0,24	0,24	0,24	0,27	00008	000000000052000000	12480	0	0	31/12/9999	0001000	0000000	BRCBEEACNOR3	139
01	12/02/2007	02	ELPL4       	010	ELETROPAULO 	PN *      	   	R$  	22,89	23,49	22,5	22,97	22,5	22,5	23	00205	000000000064360000	1478386,9	0	0	31/12/9999	0001000	0000000	BRELPLACNPR6	111
01	12/02/2007	02	SLED4       	010	SARAIVA LIVR	PN        	   	R$  	8,84	8,84	8,84	8,84	8,84	8,7	9,4	00001	000000000000442200	3909048	0	0	31/12/9999	0000001	0000000	BRSLEDACNPR7	136
01	12/02/2007	02	ITSA4       	010	ITAUSA      	PN      N1	   	R$  	1,9	1,91	1,86	1,88	1,89	1,89	1,91	00177	000000000001918000	3624050	0	0	31/12/9999	0000001	0000000	BRITSAACNPR7	268
01	12/02/2007	96	TBLE3F      	020	TRACTEBEL   	ON *      	   	R$  	3,45	3,45	3,2	3,2	3,2	3,2	3,38	00007	000000000000048943	156,6	0	0	31/12/9999	0001000	0000000	BRTBLEACNOR2	102
01	12/02/2007	96	SBSP3F      	020	SABESP      	ON *    NM	   	R$  	84,54	90	84,54	86,48	90	89,2	90	00031	000000000000096513	8376,45	0	0	31/12/9999	0001000	0000000	BRSBSPACNOR5	125
01	12/02/2008	02	VALE3       	010	VALE R DOCE 	ON        	   	R$  	105,01	105,01	102,5	103,68	103,21	103,21	104,38	00142	000000000000069500	7206414	0	0	31/12/9999	0000001	0000000	BRVALEACNOR0	159
01	12/02/2008	02	VALE5       	010	VALE R DOCE 	PNA       	   	R$  	100	100,8	98,2	99,18	98,2	97,01	98,2	00306	000000000000230500	22861390	0	0	31/12/9999	0000001	0000000	BRVALEACNPA3	160
01	12/02/2008	96	TMCP4F      	020	TELEMIG PART	PN *      	   	R$  	2,43	2,51	2,42	2,43	2,51	2,42	2,52	00013	000000000000377522	921,05	0	0	31/12/9999	0001000	0000000	BRTMCPACNPR1	105
01	12/02/2008	02	RPSA4       	010	RIPASA      	PN      N1	   	R$  	1,3	1,33	1,28	1,3	1,33	1,29	1,33	00038	000000000000603000	786800	0	0	31/12/9999	0000001	0000000	BRRPSAACNPR6	125
01	12/02/2008	02	SULT4       	010	SULTEPA     	PN        	   	R$  	0,31	0,31	0,3	0,3	0,3	0,28	0,3	00007	000000000000017000	5170	0	0	31/12/9999	0000001	0000000	BRSULTACNPR9	119
01	12/02/2008	02	CBEE3       	010	CERJ        	ON *I02   	   	R$  	0,24	0,24	0,24	0,24	0,24	0,24	0,27	00008	000000000052000000	12480	0	0	31/12/9999	0001000	0000000	BRCBEEACNOR3	139
01	12/02/2008	02	ELPL4       	010	ELETROPAULO 	PN *      	   	R$  	22,89	23,49	22,5	22,97	22,5	22,5	23	00205	000000000064360000	1478386,9	0	0	31/12/9999	0001000	0000000	BRELPLACNPR6	111
01	12/02/2008	02	SLED4       	010	SARAIVA LIVR	PN        	   	R$  	8,84	8,84	8,84	8,84	8,84	8,7	9,4	00001	000000000000442200	3909048	0	0	31/12/9999	0000001	0000000	BRSLEDACNPR7	136
01	12/02/2008	02	ITSA4       	010	ITAUSA      	PN      N1	   	R$  	1,9	1,91	1,86	1,88	1,89	1,89	1,91	00177	000000000001918000	3624050	0	0	31/12/9999	0000001	0000000	BRITSAACNPR7	268
01	12/02/2008	96	TBLE3F      	020	TRACTEBEL   	ON *      	   	R$  	3,45	3,45	3,2	3,2	3,2	3,2	3,38	00007	000000000000048943	156,6	0	0	31/12/9999	0001000	0000000	BRTBLEACNOR2	102
01	12/02/2008	96	SBSP3F      	020	SABESP      	ON *    NM	   	R$  	84,54	90	84,54	86,48	90	89,2	90	00031	000000000000096513	8376,45	0	0	31/12/9999	0001000	0000000	BRSBSPACNOR5	125
01	12/02/2009	02	VALE3       	010	VALE R DOCE 	ON        	   	R$  	105,01	105,01	102,5	103,68	103,21	103,21	104,38	00142	000000000000069500	7206414	0	0	31/12/9999	0000001	0000000	BRVALEACNOR0	159
01	12/02/2009	02	VALE5       	010	VALE R DOCE 	PNA       	   	R$  	100	100,8	98,2	99,18	98,2	97,01	98,2	00306	000000000000230500	22861390	0	0	31/12/9999	0000001	0000000	BRVALEACNPA3	160
01	12/02/2009	96	TMCP4F      	020	TELEMIG PART	PN *      	   	R$  	2,43	2,51	2,42	2,43	2,51	2,42	2,52	00013	000000000000377522	921,05	0	0	31/12/9999	0001000	0000000	BRTMCPACNPR1	105
01	12/02/2009	02	RPSA4       	010	RIPASA      	PN      N1	   	R$  	1,3	1,33	1,28	1,3	1,33	1,29	1,33	00038	000000000000603000	786800	0	0	31/12/9999	0000001	0000000	BRRPSAACNPR6	125
01	12/02/2009	02	SULT4       	010	SULTEPA     	PN        	   	R$  	0,31	0,31	0,3	0,3	0,3	0,28	0,3	00007	000000000000017000	5170	0	0	31/12/9999	0000001	0000000	BRSULTACNPR9	119
01	12/02/2009	02	CBEE3       	010	CERJ        	ON *I02   	   	R$  	0,24	0,24	0,24	0,24	0,24	0,24	0,27	00008	000000000052000000	12480	0	0	31/12/9999	0001000	0000000	BRCBEEACNOR3	139
01	12/02/2009	02	ELPL4       	010	ELETROPAULO 	PN *      	   	R$  	22,89	23,49	22,5	22,97	22,5	22,5	23	00205	000000000064360000	1478386,9	0	0	31/12/9999	0001000	0000000	BRELPLACNPR6	111
01	12/02/2009	02	SLED4       	010	SARAIVA LIVR	PN        	   	R$  	8,84	8,84	8,84	8,84	8,84	8,7	9,4	00001	000000000000442200	3909048	0	0	31/12/9999	0000001	0000000	BRSLEDACNPR7	136
01	12/02/2009	02	ITSA4       	010	ITAUSA      	PN      N1	   	R$  	1,9	1,91	1,86	1,88	1,89	1,89	1,91	00177	000000000001918000	3624050	0	0	31/12/9999	0000001	0000000	BRITSAACNPR7	268
01	12/02/2009	96	TBLE3F      	020	TRACTEBEL   	ON *      	   	R$  	3,45	3,45	3,2	3,2	3,2	3,2	3,38	00007	000000000000048943	156,6	0	0	31/12/9999	0001000	0000000	BRTBLEACNOR2	102
01	12/02/2009	96	SBSP3F      	020	SABESP      	ON *    NM	   	R$  	84,54	90	84,54	86,48	90	89,2	90	00031	000000000000096513	8376,45	0	0	31/12/9999	0001000	0000000	BRSBSPACNOR5	125
